country,years,population,migration_count,migration_count_change,migration_percent,migration_percent_change
Kyrgyz Republic,2015 - 2019,6202720.0,-29506.0,-267.4,-0.47511353489036684,0.00670970010153988
Lao PDR,2015 - 2019,6998751.6,-11080.4,3072.6,-0.15867605904976972,0.048141159466452636
Latvia,2015 - 2019,1944061.6,-9507.2,785.4,-0.4884085232658638,0.0360802788443648
Lebanon,2015 - 2019,6099911.4,-230786.8,-107737.0,-3.7910595120738106,-1.7816006700394975
Lesotho,2015 - 2019,2171345.8,-3508.0,495.4,-0.1619393095964417,0.02531641572618674
Liberia,2015 - 2019,4797947.4,-21954.0,1399.0,-0.457434112550163,0.039101432760665786
Libya,2015 - 2019,6379914.6,190.0,72.0,0.0018556846965406785,0.0014989243280931403
Liechtenstein,2015 - 2019,37903.2,171.8,1.0,0.4529544440630334,-0.0007607274905165384
Lithuania,2015 - 2019,2839444.8,-16006.4,1497.0,-0.5628340137731419,0.04653020277149098
Luxembourg,2015 - 2019,595181.0,10786.4,-163.2,1.8172878179016698,-0.06760932216266012
"Macao SAR, China",2015 - 2019,639036.0,7590.2,508.8,1.18535678487244,0.058762491380572435
Madagascar,2015 - 2019,26180414.0,90.6,-394.4,0.00042251058113227985,-0.0014807151075912925
Malawi,2015 - 2019,17892190.6,-4535.2,1616.2,-0.02569214800569374,0.01015071310524244
Malaysia,2015 - 2019,31954869.6,75605.0,-6792.2,0.23733157391253173,-0.02485464671844708
Maldives,2015 - 2019,471308.4,10730.0,-1169.0,2.302883625199936,-0.3363681332488171
Mali,2015 - 2019,19325218.0,-39685.0,1144.2,-0.2057512685531826,0.0139416521104681
Malta,2015 - 2019,471420.0,10589.0,554.6,2.2447834738606938,0.056249150577615994
Marshall Islands,2015 - 2019,47128.6,-1901.0,0.0,-4.038647736553361,-0.09594602596011845
Mauritania,2015 - 2019,4162537.2,-3006.6,-6.8,-0.07233283303960202,0.0017601086999780198
Mauritius,2015 - 2019,1264615.0,-2185.8,379.6,-0.17287827514121695,0.030159999622977378
Mexico,2015 - 2019,122721509.6,-41742.2,10529.8,-0.03392912099329786,0.009273796988048017
"Micronesia, Fed. Sts.",2015 - 2019,110425.0,-1322.4,39.8,-1.1978634084615634,0.04148220206974722
Moldova,2015 - 2019,2753156.0,-43864.2,7769.0,-1.5850204831561936,0.25744561708953223
Monaco,2015 - 2019,36987.6,536.6,-114.4,1.4527861130048045,-0.3225584154505488
Mongolia,2015 - 2019,3097351.0,8858.8,1970.2,0.28382542746071626,0.06037987671862564
Montenegro,2015 - 2019,622218.0,-1938.8,21.2,-0.3115908973588334,0.0034278433366127597
Morocco,2015 - 2019,35509551.2,-78246.2,-3979.4,-0.22007712991577283,-0.008578247493494178
Mozambique,2015 - 2019,28563730.6,18396.4,-9850.0,0.06842292359087497,-0.03592845235525026
Myanmar,2015 - 2019,52274173.0,-100589.0,-5177.4,-0.1923318317890121,-0.0086727718074499
Namibia,2015 - 2019,2364582.8,-8596.2,2.2,-0.3637588379368002,0.0064777150578683605
Nauru,2015 - 2019,11672.0,-48.4,-15.2,-0.4096579129034573,-0.11972024970902037
Nepal,2015 - 2019,28198829.0,-109772.8,47912.0,-0.39177407379900475,0.1769095422084082
Netherlands,2015 - 2019,17135606.2,59762.8,1078.0,0.3487450286866835,0.004414669008584419
New Caledonia,2015 - 2019,270580.0,-2337.4,-569.2,-0.8638103260437251,-0.21029858354513875
New Zealand,2015 - 2019,4803380.0,65960.6,10972.0,1.3631449371370539,0.20038585455159136
Nicaragua,2015 - 2019,6480904.4,-21950.6,1167.6,-0.33933631726231817,0.02314846486405846
Niger,2015 - 2019,21761648.0,1090.8,-3934.0,0.0079921712779551,-0.0174770628611845
Nigeria,2015 - 2019,193570147.6,-74117.8,-10927.6,-0.038501019777544124,-0.00472744993250452
North Macedonia,2015 - 2019,2074025.8,-1109.4,122.0,-0.05349822200357823,0.00594333326111696
Northern Mariana Islands,2015 - 2019,50707.6,-834.2,15.6,-1.6448401557455834,0.01762592928371984
Norway,2015 - 2019,5271981.2,24458.0,-2600.2,0.4645120507699271,-0.054535265536023836
Oman,2015 - 2019,4467125.0,20093.6,-36565.0,0.5179726045800945,-0.8432737919876219
Pakistan,2015 - 2019,216779710.4,-1704795.6,172138.6,-0.7906362597344359,0.09027479540769914
Palau,2015 - 2019,17845.4,8.0,11.8,0.04482973033268164,0.06624681570111333
Panama,2015 - 2019,4095457.0,10313.8,703.6,0.2515603786396563,0.0136560024196271
Papua New Guinea,2015 - 2019,9113570.4,26647.0,-1972.8,0.29370151482988993,-0.029442941896405277
Paraguay,2015 - 2019,6354664.6,-16587.0,144.0,-0.2611817477662367,0.0059584342254366
Peru,2015 - 2019,31695786.6,130163.6,37387.8,0.4056060795705568,0.11639968663009226
Philippines,2015 - 2019,106718954.4,16535.8,42764.8,0.015999269428878582,0.04259520123134092
Poland,2015 - 2019,37974310.0,-8217.2,4252.0,-0.0216349854823142,0.011184112618880358
Portugal,2015 - 2019,10310782.6,8165.0,14737.8,0.07956496586994193,0.14263201052073482
Puerto Rico,2015 - 2019,3318447.6,-45239.2,9788.6,-1.3426822509327891,0.2672363591606813
Qatar,2015 - 2019,2659092.2,78128.6,-32855.0,3.083086869476874,-1.5132004361040383
Romania,2015 - 2019,19590443.2,-51133.4,-1001.6,-0.26071767097260673,-0.005740139274125361
Russian Federation,2015 - 2019,144364025.2,355679.8,14533.2,0.24638885862988383,0.00991675916283762
Rwanda,2015 - 2019,12234206.6,-8973.6,640.8,-0.07333739780090934,0.008013297499226638
Samoa,2015 - 2019,207670.2,-2788.2,138.4,-1.3442007934056786,0.08031829280457806
San Marino,2015 - 2019,33958.8,249.6,5.8,0.7363853770520954,0.015324457894914054
Sao Tome and Principe,2015 - 2019,207947.0,-1767.4,15.2,-0.8506712747871138,0.02156106360395258
Saudi Arabia,2015 - 2019,34240947.0,201826.0,35130.4,0.5842152326064036,0.09384011755795749
Senegal,2015 - 2019,15168204.0,-23249.6,3486.4,-0.15447265898412768,0.02858425327419346
Serbia,2015 - 2019,7020480.4,4313.8,-1516.6,0.061200342911784576,-0.021232367521775243
